Page Count, Touch Count, Fault Count, Extra Faults
100000, 981, 981, 0
100000, 982, 982, 0
100000, 983, 983, 0
100000, 984, 984, 0
100000, 985, 985, 0
100000, 986, 986, 0
100000, 987, 987, 0
100000, 988, 988, 0
100000, 989, 989, 0
100000, 990, 990, 0
100000, 991, 991, 0
100000, 992, 992, 0
100000, 993, 993, 0
100000, 994, 994, 0
100000, 995, 995, 0
100000, 996, 996, 0
100000, 997, 997, 0
100000, 998, 998, 0
100000, 999, 999, 0
100000, 1000, 1000, 0
100000, 1001, 1001, 0
100000, 1002, 1002, 0
100000, 1003, 1003, 0
100000, 1004, 1004, 0
100000, 1005, 1005, 0
100000, 1006, 1006, 0
100000, 1007, 1007, 0
100000, 1008, 1008, 0
100000, 1009, 1009, 0
100000, 1010, 1010, 0
100000, 1011, 1011, 0
100000, 1012, 1012, 0
100000, 1013, 1013, 0
100000, 1014, 1014, 0
100000, 1015, 1015, 0
100000, 1016, 1016, 0
100000, 1017, 1017, 0
100000, 1018, 1018, 0
100000, 1019, 1019, 0
100000, 1020, 1020, 0
100000, 1021, 1021, 0
100000, 1022, 1022, 0
100000, 1023, 1023, 0
100000, 1024, 1024, 0
100000, 1025, 1025, 0
100000, 1026, 1026, 0
100000, 1027, 1027, 0
100000, 1028, 1028, 0
100000, 1029, 1029, 0
100000, 1030, 1030, 0
100000, 1031, 1031, 0
100000, 1032, 1032, 0
100000, 1033, 1033, 0
100000, 1034, 1034, 0
100000, 1035, 1035, 0
100000, 1036, 1036, 0
100000, 1037, 1037, 0
100000, 1038, 1038, 0
100000, 1039, 1039, 0
100000, 1040, 1040, 0
100000, 1041, 1041, 0
100000, 1042, 1042, 0
100000, 1043, 1043, 0
100000, 1044, 1044, 0
100000, 1045, 1045, 0
100000, 1046, 1046, 0
100000, 1047, 1047, 0
100000, 1048, 1048, 0
100000, 1049, 1049, 0
100000, 1050, 1050, 0
100000, 1051, 1051, 0
100000, 1052, 1052, 0
100000, 1053, 1053, 0
100000, 1054, 1054, 0
100000, 1055, 1055, 0
100000, 1056, 1056, 0
100000, 1057, 1057, 0
100000, 1058, 1058, 0
100000, 1059, 1059, 0
100000, 1060, 1060, 0
100000, 1061, 1061, 0
100000, 1062, 1062, 0
100000, 1063, 1063, 0
100000, 1064, 1064, 0
100000, 1065, 1065, 0
100000, 1066, 1066, 0
100000, 1067, 1067, 0
100000, 1068, 1068, 0
100000, 1069, 1069, 0
100000, 1070, 1070, 0
100000, 1071, 1071, 0
100000, 1072, 1072, 0
100000, 1073, 1073, 0
